SK107 1960 B11_1_CD3_IL10_Set 4_20X_Take 1.jpg,47.7,95.3,97.4,49.0,3,70.5,70.5
SK107 1960 B11_2_CD3_IFN G_Set 1_10X_Take 1.jpg,59.8,89.7,92.1,64.9,4,32.5,32.6
